State,year,month,PRCP,EVAP,TMIN,TMAX,mean_elevation,Land Area (sq mi),Water Area (sq mi),Total Area (sq mi),Percentage of Federal Land,Urbanization Rate (%),total_fire_size
AK,1996,8,23.34,20.01,-33.0,228.0,580,570641,94743,665384,0.609,64.9,27.1
AK,1996,9,4.0,17.8,-22.0,233.0,580,570641,94743,665384,0.609,64.9,14.4
AK,1996,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,3252.4
AK,1997,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,302.5
AK,1997,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,14145.3
AK,1997,5,17.33,39.94,-17.0,250.0,580,570641,94743,665384,0.609,64.9,452.2
AK,1997,6,9.38,40.15,-11.0,289.0,580,570641,94743,665384,0.609,64.9,1601554.9
AK,1997,7,14.46,34.93,44.0,306.0,580,570641,94743,665384,0.609,64.9,404789.8
AK,1997,8,21.3,13.61,0.0,283.0,580,570641,94743,665384,0.609,64.9,4950.3
AK,1997,9,11.26,13.29,-50.0,228.0,580,570641,94743,665384,0.609,64.9,3.4
AK,1997,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,6.0
AK,1997,11,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,1998,2,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,4.3
AK,1998,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.6
AK,1998,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,498.5
AK,1998,5,6.37,31.63,-28.0,244.0,580,570641,94743,665384,0.609,64.9,54480.0
AK,1998,6,14.92,25.98,-6.0,306.0,580,570641,94743,665384,0.609,64.9,31754.2
AK,1998,7,28.48,24.67,39.0,272.0,580,570641,94743,665384,0.609,64.9,33965.5
AK,1998,8,32.34,15.0,-33.0,256.0,580,570641,94743,665384,0.609,64.9,74.5
AK,1998,9,18.93,11.64,-33.0,189.0,580,570641,94743,665384,0.609,64.9,3.2
AK,1998,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,1.3
AK,1999,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,1999,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,520.39999
AK,1999,5,9.47,40.86,-33.0,233.0,580,570641,94743,665384,0.609,64.9,781.6
AK,1999,6,11.22,35.65,0.0,328.0,580,570641,94743,665384,0.609,64.9,914393.9
AK,1999,7,20.53,27.65,28.0,294.0,580,570641,94743,665384,0.609,64.9,90106.1
AK,1999,8,15.41,17.51,6.0,306.0,580,570641,94743,665384,0.609,64.9,2.4
AK,1999,9,11.82,13.77,-22.0,206.0,580,570641,94743,665384,0.609,64.9,38.2
AK,1999,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,1.0
AK,2000,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,38.4
AK,2000,5,9.04,34.04,-33.0,189.0,580,570641,94743,665384,0.609,64.9,1208.6
AK,2000,6,6.44,36.87,6.0,289.0,580,570641,94743,665384,0.609,64.9,738604.4
AK,2000,7,20.19,24.27,11.0,267.0,580,570641,94743,665384,0.609,64.9,3594.7
AK,2000,8,30.74,14.98,-28.0,233.0,580,570641,94743,665384,0.609,64.9,41.3
AK,2000,9,21.75,9.31,-50.0,156.0,580,570641,94743,665384,0.609,64.9,0.7000000000000001
AK,2000,11,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,2000,12,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,12891.0
AK,2001,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,2.6
AK,2001,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,15.6
AK,2001,5,7.02,30.22,-39.0,222.0,580,570641,94743,665384,0.609,64.9,1700.1
AK,2001,6,5.8,37.66,6.0,283.0,580,570641,94743,665384,0.609,64.9,214004.7
AK,2001,7,30.18,20.09,11.0,239.0,580,570641,94743,665384,0.609,64.9,557.4
AK,2001,8,15.02,19.58,11.0,256.0,580,570641,94743,665384,0.609,64.9,6.7
AK,2001,9,10.32,13.19,-28.0,189.0,580,570641,94743,665384,0.609,64.9,3616.7
AK,2001,10,10.32,8.16,-189.0,156.0,580,570641,94743,665384,0.609,64.9,20.9
AK,2002,1,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,2002,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,2002,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,604.6
AK,2002,5,4.18,38.74,-44.0,278.0,580,570641,94743,665384,0.609,64.9,639303.6
AK,2002,6,6.88,39.38,28.0,278.0,580,570641,94743,665384,0.609,64.9,555731.5
AK,2002,7,20.04,27.05,11.0,289.0,580,570641,94743,665384,0.609,64.9,926979.1
AK,2002,8,34.2,18.84,-11.0,294.0,580,570641,94743,665384,0.609,64.9,64019.4
AK,2002,9,24.37,10.35,-72.0,194.0,580,570641,94743,665384,0.609,64.9,2.7
AK,2002,11,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,5.0
AK,2003,1,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,432.7
AK,2003,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,281.5
AK,2003,4,0.0,45.0,-17.0,189.0,580,570641,94743,665384,0.609,64.9,599.5
AK,2003,5,4.94,33.63,-11.0,211.0,580,570641,94743,665384,0.609,64.9,13035.5
AK,2003,6,7.43,33.6,-6.0,244.0,580,570641,94743,665384,0.609,64.9,534531.7
AK,2003,7,29.07,32.97,-6.0,294.0,580,570641,94743,665384,0.609,64.9,50167.6
AK,2003,8,17.54,21.33,6.0,294.0,580,570641,94743,665384,0.609,64.9,2524.81
AK,2003,9,15.38,16.62,-33.0,189.0,580,570641,94743,665384,0.609,64.9,99.8
AK,2003,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.8
AK,2003,11,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,2004,1,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,2004,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,2004,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,27.7
AK,2004,5,9.46,34.18,0.0,222.0,580,570641,94743,665384,0.609,64.9,11892.6
AK,2004,6,6.71,31.9,11.0,306.0,580,570641,94743,665384,0.609,64.9,4779145.15
AK,2004,7,16.26,28.47,39.0,289.0,580,570641,94743,665384,0.609,64.9,1568044.30019
AK,2004,8,10.64,23.3,0.0,306.0,580,570641,94743,665384,0.609,64.9,229376.1
AK,2004,9,21.47,25.27,-44.0,183.0,580,570641,94743,665384,0.609,64.9,3381.8
AK,2004,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.75
AK,2005,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,1.5
AK,2005,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,5969.7
AK,2005,5,1.18,46.57,-6.0,228.0,580,570641,94743,665384,0.609,64.9,253467.2
AK,2005,6,23.56,36.87,11.0,289.0,580,570641,94743,665384,0.609,64.9,2209361.15
AK,2005,7,26.37,34.28,-6.0,261.0,580,570641,94743,665384,0.609,64.9,1631255.2
AK,2005,8,15.26,22.48,-11.0,300.0,580,570641,94743,665384,0.609,64.9,535813.102
AK,2005,9,23.84,19.55,-56.0,178.0,580,570641,94743,665384,0.609,64.9,30.8
AK,2006,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,95.0
AK,2006,5,1.8,44.22,-17.0,261.0,580,570641,94743,665384,0.609,64.9,68858.5
AK,2006,6,19.78,33.2,-56.0,256.0,580,570641,94743,665384,0.609,64.9,158456.1
AK,2006,7,17.6,35.34,28.0,272.0,580,570641,94743,665384,0.609,64.9,27095.9
AK,2006,8,30.68,19.1,-17.0,233.0,580,570641,94743,665384,0.609,64.9,2.2
AK,2006,9,11.78,20.03,-11.0,194.0,580,570641,94743,665384,0.609,64.9,3.6
AK,2006,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,2.5
AK,2007,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,33820.5
AK,2007,5,11.6,31.23,-22.0,244.0,580,570641,94743,665384,0.609,64.9,50446.3
AK,2007,6,8.21,34.86,-6.0,272.0,580,570641,94743,665384,0.609,64.9,128310.8
AK,2007,7,17.41,27.38,28.0,278.0,580,570641,94743,665384,0.609,64.9,420162.80002
AK,2007,8,24.83,24.75,17.0,278.0,580,570641,94743,665384,0.609,64.9,37.3
AK,2007,9,26.82,17.97,-44.0,206.0,580,570641,94743,665384,0.609,64.9,1687.8
AK,2007,10,1.25,18.5,-39.0,111.0,580,570641,94743,665384,0.609,64.9,0.4
AK,2007,11,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.2
AK,2008,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,224.3
AK,2008,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,93.9
AK,2008,5,5.23,32.35,-44.0,189.0,580,570641,94743,665384,0.609,64.9,1276.8
AK,2008,6,18.51,37.38,33.0,272.0,580,570641,94743,665384,0.609,64.9,14605.8
AK,2008,7,12.4,32.52,39.0,289.0,580,570641,94743,665384,0.609,64.9,76102.0
AK,2008,8,14.47,22.98,11.0,233.0,580,570641,94743,665384,0.609,64.9,136.29999999999998
AK,2008,9,14.6,16.08,-33.0,217.0,580,570641,94743,665384,0.609,64.9,38.5
AK,2009,1,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AK,2009,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,1000.0
AK,2009,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,241.7
AK,2009,5,4.64,33.41,-50.0,261.0,580,570641,94743,665384,0.609,64.9,334059.41
AK,2009,6,10.65,32.7,-11.0,294.0,580,570641,94743,665384,0.609,64.9,1482052.41
AK,2009,7,5.8,39.15,28.0,322.0,580,570641,94743,665384,0.609,64.9,1017333.65
AK,2009,8,16.22,17.77,-39.0,289.0,580,570641,94743,665384,0.609,64.9,114860.3
AK,2009,9,8.42,21.2,-61.0,228.0,580,570641,94743,665384,0.609,64.9,40.1
AK,2009,10,0.0,11.25,-22.0,117.0,580,570641,94743,665384,0.609,64.9,1.2
AK,2009,11,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,5.1
AK,2010,3,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.5
AK,2010,4,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,1558.9699999999998
AK,2010,5,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,608126.4
AK,2010,6,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,316987.85
AK,2010,7,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,206614.55
AK,2010,8,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,156.7
AK,2010,9,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,4046.7
AK,2010,10,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,40.9
AK,2010,11,21.221558559927082,50.93134133373842,10.677198845511166,328.0469390855233,580,570641,94743,665384,0.609,64.9,0.1
AL,1992,1,45.18,18.29,-28.0,217.0,150,50645,1775,52420,0.027000000000000003,57.7,48.0
AL,1992,2,35.2,25.85,-39.0,256.0,150,50645,1775,52420,0.027000000000000003,57.7,241.8
AL,1992,3,21.85,38.96,-39.0,278.0,150,50645,1775,52420,0.027000000000000003,57.7,92.7
AL,1992,4,17.51,50.48,-33.0,317.0,150,50645,1775,52420,0.027000000000000003,57.7,610.4
AL,1992,5,15.44,60.04,39.0,328.0,150,50645,1775,52420,0.027000000000000003,57.7,204.9
AL,1992,8,33.11,47.39,94.0,356.0,150,50645,1775,52420,0.027000000000000003,57.7,5.1
AL,1992,9,19.48,41.92,61.0,333.0,150,50645,1775,52420,0.027000000000000003,57.7,0.1
AL,1992,10,18.14,30.34,6.0,289.0,150,50645,1775,52420,0.027000000000000003,57.7,3.2
AL,1992,11,37.47,24.04,-50.0,272.0,150,50645,1775,52420,0.027000000000000003,57.7,34.9
AL,1992,12,17.71,16.71,-33.0,250.0,150,50645,1775,52420,0.027000000000000003,57.7,12.1
AL,1993,1,29.53,17.75,-67.0,239.0,150,50645,1775,52420,0.027000000000000003,57.7,255.6
AL,1993,2,24.86,27.56,-33.0,244.0,150,50645,1775,52420,0.027000000000000003,57.7,907.9
AL,1993,3,37.9,35.41,-39.0,294.0,150,50645,1775,52420,0.027000000000000003,57.7,468.7
AL,1993,4,20.25,49.66,-33.0,289.0,150,50645,1775,52420,0.027000000000000003,57.7,57.5
AL,1993,6,21.3,62.82,56.0,372.0,150,50645,1775,52420,0.027000000000000003,57.7,7.2
AL,1993,7,24.12,66.55,133.0,400.0,150,50645,1775,52420,0.027000000000000003,57.7,219.9
AL,1993,8,31.02,56.57,111.0,372.0,150,50645,1775,52420,0.027000000000000003,57.7,65.6
AL,1993,9,30.55,47.56,28.0,367.0,150,50645,1775,52420,0.027000000000000003,57.7,103.1
AL,1993,10,12.83,33.22,-33.0,317.0,150,50645,1775,52420,0.027000000000000003,57.7,100.3
AL,1993,11,18.98,21.06,-67.0,278.0,150,50645,1775,52420,0.027000000000000003,57.7,73.5
AL,1993,12,32.14,19.63,-67.0,244.0,150,50645,1775,52420,0.027000000000000003,57.7,77.5
AL,1994,1,30.95,18.77,-33.0,239.0,150,50645,1775,52420,0.027000000000000003,57.7,3097.1
AL,1994,2,20.27,29.22,-39.0,272.0,150,50645,1775,52420,0.027000000000000003,57.7,7595.4
AL,1994,3,22.51,42.57,-22.0,300.0,150,50645,1775,52420,0.027000000000000003,57.7,16857.3
AL,1994,4,20.9,49.38,-17.0,317.0,150,50645,1775,52420,0.027000000000000003,57.7,2217.7
AL,1994,5,20.55,57.05,-11.0,328.0,150,50645,1775,52420,0.027000000000000003,57.7,1314.0
AL,1994,6,47.71,52.41,161.0,356.0,150,50645,1775,52420,0.027000000000000003,57.7,143.0
AL,1994,7,39.49,51.14,106.0,350.0,150,50645,1775,52420,0.027000000000000003,57.7,108.1
AL,1994,8,23.9,49.78,139.0,356.0,150,50645,1775,52420,0.027000000000000003,57.7,104.9
AL,1994,9,12.85,45.39,56.0,339.0,150,50645,1775,52420,0.027000000000000003,57.7,338.5
AL,1994,10,21.12,30.04,6.0,328.0,150,50645,1775,52420,0.027000000000000003,57.7,133.8
AL,1994,11,10.44,27.3,0.0,283.0,150,50645,1775,52420,0.027000000000000003,57.7,2287.5
AL,1994,12,11.96,17.66,-28.0,244.0,150,50645,1775,52420,0.027000000000000003,57.7,467.1
AL,1995,1,27.63,22.49,-33.0,239.0,150,50645,1775,52420,0.027000000000000003,57.7,1031.0
AL,1995,2,28.64,35.76,-33.0,283.0,150,50645,1775,52420,0.027000000000000003,57.7,7563.8
AL,1995,3,31.34,37.03,-22.0,317.0,150,50645,1775,52420,0.027000000000000003,57.7,6523.5
AL,1995,4,25.26,49.34,-11.0,311.0,150,50645,1775,52420,0.027000000000000003,57.7,8548.8
AL,1995,5,15.94,58.2,22.0,344.0,150,50645,1775,52420,0.027000000000000003,57.7,1261.6
AL,1995,6,22.95,59.41,72.0,361.0,150,50645,1775,52420,0.027000000000000003,57.7,926.1
AL,1995,7,31.38,65.59,139.0,389.0,150,50645,1775,52420,0.027000000000000003,57.7,3771.0
AL,1995,8,26.7,61.04,172.0,400.0,150,50645,1775,52420,0.027000000000000003,57.7,3270.4
AL,1995,9,20.84,53.89,83.0,372.0,150,50645,1775,52420,0.027000000000000003,57.7,3222.2
AL,1995,10,14.81,39.2,-11.0,333.0,150,50645,1775,52420,0.027000000000000003,57.7,831.1
AL,1995,11,20.0,24.97,-56.0,278.0,150,50645,1775,52420,0.027000000000000003,57.7,437.4
AL,1995,12,38.07,18.35,-50.0,261.0,150,50645,1775,52420,0.027000000000000003,57.7,1509.7
AL,1996,1,29.53,22.26,-39.0,244.0,150,50645,1775,52420,0.027000000000000003,57.7,1668.4
AL,1996,2,22.26,34.29,-33.0,294.0,150,50645,1775,52420,0.027000000000000003,57.7,11741.2
AL,1996,3,43.06,40.64,-33.0,283.0,150,50645,1775,52420,0.027000000000000003,57.7,18572.0
AL,1996,4,23.64,52.36,-39.0,311.0,150,50645,1775,52420,0.027000000000000003,57.7,6523.2
AL,1996,5,10.18,61.62,17.0,378.0,150,50645,1775,52420,0.027000000000000003,57.7,2928.7
AL,1996,6,22.33,60.51,-144.0,356.0,150,50645,1775,52420,0.027000000000000003,57.7,692.5
AL,1996,7,37.14,63.65,122.0,367.0,150,50645,1775,52420,0.027000000000000003,57.7,1402.8
AL,1996,8,30.02,53.4,117.0,350.0,150,50645,1775,52420,0.027000000000000003,57.7,377.6
AL,1996,9,40.69,43.56,50.0,333.0,150,50645,1775,52420,0.027000000000000003,57.7,46.2
AL,1996,10,19.3,31.77,-11.0,306.0,150,50645,1775,52420,0.027000000000000003,57.7,511.3
AL,1996,11,13.98,24.17,-39.0,278.0,150,50645,1775,52420,0.027000000000000003,57.7,2389.3
AL,1996,12,25.23,21.17,-44.0,267.0,150,50645,1775,52420,0.027000000000000003,57.7,830.0
AL,1997,1,35.3,21.72,-44.0,256.0,150,50645,1775,52420,0.027000000000000003,57.7,1595.8
AL,1997,2,27.34,22.26,-28.0,278.0,150,50645,1775,52420,0.027000000000000003,57.7,2620.1
AL,1997,3,15.24,39.08,-11.0,300.0,150,50645,1775,52420,0.027000000000000003,57.7,5834.6
AL,1997,4,29.74,48.37,-17.0,289.0,150,50645,1775,52420,0.027000000000000003,57.7,3807.7
AL,1997,5,28.02,52.38,17.0,322.0,150,50645,1775,52420,0.027000000000000003,57.7,2147.0
AL,1997,6,35.72,47.77,111.0,339.0,150,50645,1775,52420,0.027000000000000003,57.7,33.9
AL,1997,7,31.21,59.19,161.0,361.0,150,50645,1775,52420,0.027000000000000003,57.7,105.9
AL,1997,8,19.62,54.55,122.0,372.0,150,50645,1775,52420,0.027000000000000003,57.7,127.8
AL,1997,9,18.44,50.93,72.0,383.0,150,50645,1775,52420,0.027000000000000003,57.7,2282.7
AL,1997,10,19.73,37.17,-11.0,333.0,150,50645,1775,52420,0.027000000000000003,57.7,2799.6
AL,1997,11,20.76,20.53,-61.0,261.0,150,50645,1775,52420,0.027000000000000003,57.7,231.8
AL,1997,12,20.51,18.08,-78.0,244.0,150,50645,1775,52420,0.027000000000000003,57.7,468.5
AL,1998,1,26.77,19.6,-33.0,233.0,150,50645,1775,52420,0.027000000000000003,57.7,835.4
AL,1998,2,40.22,30.55,-67.0,244.0,150,50645,1775,52420,0.027000000000000003,57.7,3272.0
AL,1998,3,14.19,36.56,-61.0,306.0,150,50645,1775,52420,0.027000000000000003,57.7,9445.6
AL,1998,4,28.36,45.42,6.0,322.0,150,50645,1775,52420,0.027000000000000003,57.7,1716.3
AL,1998,5,7.93,57.37,-150.0,367.0,150,50645,1775,52420,0.027000000000000003,57.7,1447.1
AL,1998,6,23.76,69.42,83.0,400.0,150,50645,1775,52420,0.027000000000000003,57.7,1948.5
AL,1998,7,37.78,60.37,156.0,406.0,150,50645,1775,52420,0.027000000000000003,57.7,929.7
AL,1998,8,22.88,57.11,128.0,372.0,150,50645,1775,52420,0.027000000000000003,57.7,908.8
AL,1998,9,20.75,51.75,94.0,367.0,150,50645,1775,52420,0.027000000000000003,57.7,4592.8
AL,1998,10,7.33,35.67,-17.0,328.0,150,50645,1775,52420,0.027000000000000003,57.7,4768.3
AL,1998,11,13.84,21.82,-39.0,294.0,150,50645,1775,52420,0.027000000000000003,57.7,1490.3
AL,1998,12,21.56,19.19,-33.0,278.0,150,50645,1775,52420,0.027000000000000003,57.7,4205.8
AL,1999,1,27.64,22.39,-78.0,256.0,150,50645,1775,52420,0.027000000000000003,57.7,1539.3
AL,1999,2,18.05,25.56,-72.0,267.0,150,50645,1775,52420,0.027000000000000003,57.7,4931.5
AL,1999,3,36.33,37.25,-56.0,261.0,150,50645,1775,52420,0.027000000000000003,57.7,7993.2
AL,1999,4,18.01,52.73,-17.0,328.0,150,50645,1775,52420,0.027000000000000003,57.7,7215.7
AL,1999,5,20.88,58.1,22.0,328.0,150,50645,1775,52420,0.027000000000000003,57.7,1908.6
AL,1999,6,36.05,57.46,-6.0,356.0,150,50645,1775,52420,0.027000000000000003,57.7,281.0
AL,1999,7,28.39,58.28,167.0,372.0,150,50645,1775,52420,0.027000000000000003,57.7,192.1
AL,1999,8,18.18,65.6,0.0,394.0,150,50645,1775,52420,0.027000000000000003,57.7,4359.2
AL,1999,9,14.23,55.09,17.0,372.0,150,50645,1775,52420,0.027000000000000003,57.7,14107.9
AL,1999,10,14.13,36.53,-33.0,333.0,150,50645,1775,52420,0.027000000000000003,57.7,2290.2
AL,1999,11,11.09,25.61,-56.0,283.0,150,50645,1775,52420,0.027000000000000003,57.7,4916.3
AL,1999,12,19.95,20.43,-67.0,250.0,150,50645,1775,52420,0.027000000000000003,57.7,2813.2
AL,2000,1,35.59,24.58,-89.0,261.0,150,50645,1775,52420,0.027000000000000003,57.7,2710.7
AL,2000,2,14.08,30.03,-50.0,261.0,150,50645,1775,52420,0.027000000000000003,57.7,17495.5
AL,2000,3,33.06,36.87,-56.0,289.0,150,50645,1775,52420,0.027000000000000003,57.7,10399.1
AL,2000,4,14.7,48.32,-50.0,306.0,150,50645,1775,52420,0.027000000000000003,57.7,3734.9
AL,2000,5,4.48,66.95,50.0,372.0,150,50645,1775,52420,0.027000000000000003,57.7,7466.6
AL,2000,6,25.94,64.92,61.0,389.0,150,50645,1775,52420,0.027000000000000003,57.7,2957.1
